,sample_names.1.,Phylum,Class,Order,Family,Genus,SUM
123,FS891_RNA,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum,1050
124,FS891_RNA,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,SM23-31,1
125,FS891_RNA,Cercozoa,Cercozoa_unclassified,Cercozoa_unclassified,Cercozoa_unclassified,Cercozoa_unclassified,146
126,FS891_RNA,Cercozoa,Phytomyxea,Phytomyxea_or,Phytomyxea_fa,Plasmodiophora,29
127,FS891_RNA,Chlamydiae,Chlamydiae,Chlamydiales,Chlamydiales_unclassified,Chlamydiales_unclassified,7
128,FS891_RNA,Chlamydiae,Chlamydiae_unclassified,Chlamydiae_unclassified,Chlamydiae_unclassified,Chlamydiae_unclassified,27
129,FS891_RNA,Chlamydiae,LD1-PA32,LD1-PA32_or,LD1-PA32_fa,LD1-PA32_ge,1
130,FS891_RNA,Chloroflexi,Anaerolineae,Anaerolineae_unclassified,Anaerolineae_unclassified,Anaerolineae_unclassified,871
131,FS891_RNA,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolineaceae_unclassified,409
132,FS891_RNA,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,GWD2-49-16,3
133,FS891_RNA,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermanaerothrix,1
134,FS891_RNA,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermomarinilinea,7113
135,FS891_RNA,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,18
136,FS891_RNA,Chloroflexi,Anaerolineae,Ardenticatenales,uncultured,uncultured_ge,33
137,FS891_RNA,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,uncultured,13
138,FS891_RNA,Chloroflexi,Anaerolineae,SBR1031,SBR1031_fa,SBR1031_ge,39
139,FS891_RNA,Chloroflexi,Anaerolineae,SJA-15,SJA-15_fa,SJA-15_ge,518
140,FS891_RNA,Chloroflexi,Chloroflexi_unclassified,Chloroflexi_unclassified,Chloroflexi_unclassified,Chloroflexi_unclassified,300
141,FS891_RNA,Chloroflexi,Dehalococcoidia,Dehalococcoidia_unclassified,Dehalococcoidia_unclassified,Dehalococcoidia_unclassified,91
142,FS891_RNA,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade_fa,SAR202_clade_ge,7751
143,FS891_RNA,Chloroflexi,KD4-96,KD4-96_or,KD4-96_fa,KD4-96_ge,21
144,FS891_RNA,Chlorophyta_ph,Chlorophyta_ph_unclassified,Chlorophyta_ph_unclassified,Chlorophyta_ph_unclassified,Chlorophyta_ph_unclassified,27
145,FS891_RNA,Chlorophyta_ph,Mamiellophyceae,Mamiellales,Mamiellales_fa,Mamiellales_fa_unclassified,2
146,FS891_RNA,Choanoflagellida,Acanthoecida,Stephanoecidae,Stephanoecidae_fa,Marine_Choanoflagellates_1,7
147,FS891_RNA,Choanoflagellida,Choanoflagellida_unclassified,Choanoflagellida_unclassified,Choanoflagellida_unclassified,Choanoflagellida_unclassified,2
148,FS891_RNA,Ciliophora,Ciliophora_unclassified,Ciliophora_unclassified,Ciliophora_unclassified,Ciliophora_unclassified,35
149,FS891_RNA,Ciliophora,Intramacronucleata,Conthreep,Conthreep_unclassified,Conthreep_unclassified,422
150,FS891_RNA,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Dexiotricha,67
151,FS891_RNA,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Homalogastra,9
152,FS891_RNA,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Oligohymenophorea_unclassified,1477
153,FS891_RNA,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Pseudocohnilembus,36
154,FS891_RNA,Ciliophora,Intramacronucleata,Conthreep,Phyllopharyngea,Phyllopharyngea_unclassified,2
155,FS891_RNA,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified,915
156,FS891_RNA,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Choreotrichia_unclassified,43
157,FS891_RNA,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,uncultured,113
158,FS891_RNA,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Euplotia_unclassified,21
159,FS891_RNA,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Holosticha,241
160,FS891_RNA,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Hypotrichia_unclassified,31
161,FS891_RNA,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Oligotrichia_unclassified,6
162,FS891_RNA,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Spirostrombidium,7
163,FS891_RNA,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Strombidium,6
164,FS891_RNA,Ciliophora,Intramacronucleata,Spirotrichea,Spirotrichea_unclassified,Spirotrichea_unclassified,582
165,FS891_RNA,Ciliophora,Postciliodesmatophora,Heterotrichea,Heterotrichea_fa,Condylostoma,3
166,FS891_RNA,Cloacimonetes,Cloacimonadia,Cloacimonadales,Cloacimonadales_unclassified,Cloacimonadales_unclassified,45
167,FS891_RNA,Cloacimonetes,Cloacimonadia,Cloacimonadales,MSBL8,MSBL8_ge,24
168,FS891_RNA,Cnidaria,Cnidaria_unclassified,Cnidaria_unclassified,Cnidaria_unclassified,Cnidaria_unclassified,67
169,FS891_RNA,Cnidaria,Hydrozoa,Anthoathecata,Anthoathecata_fa,Anthoathecata_ge,3
170,FS891_RNA,Cnidaria,Hydrozoa,Hydrozoa_unclassified,Hydrozoa_unclassified,Hydrozoa_unclassified,590
171,FS891_RNA,Cnidaria,Hydrozoa,Leptothecata,Leptothecata_fa,Leptothecata_ge,109
172,FS891_RNA,Cnidaria,Hydrozoa,Narcomedusae,Narcomedusae_fa,Narcomedusae_ge,25
173,FS891_RNA,Cnidaria,Hydrozoa,Siphonophorae,Siphonophorae_fa,Siphonophorae_ge,149
174,FS891_RNA,Cnidaria,Hydrozoa,Trachymedusae,Trachymedusae_fa,Trachymedusae_ge,30
175,FS891_RNA,Cnidaria,Scyphozoa,Rhizostomeae,Rhizostomeae_fa,Rhizostomeae_ge,5
176,FS891_RNA,Cnidaria,Scyphozoa,Scyphozoa_unclassified,Scyphozoa_unclassified,Scyphozoa_unclassified,3868
